DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_TIME,DEP_DELAY,CANCELLED,DIVERTED,DISTANCE
4,5,WN,BUR,954.0,-1.0,0.0,0.0,369.0
17,4,WN,MCO,831.0,-4.0,0.0,0.0,990.0
4,5,DL,CVG,812.0,-3.0,0.0,0.0,1450.0
24,4,XE,ORD,1501.0,-9.0,0.0,0.0,403.0
10,4,WN,DEN,1605.0,0.0,0.0,0.0,533.0
18,5,US,LGA,1854.0,-6.0,0.0,0.0,214.0
16,3,EV,IAD,1659.0,-3.0,0.0,0.0,441.0
13,7,OO,DEN,947.0,-8.0,0.0,0.0,73.0
20,7,MQ,JFK,2114.0,69.0,0.0,0.0,213.0
23,3,FL,ATL,1011.0,-4.0,0.0,0.0,782.0
16,3,CO,IAH,1212.0,-8.0,0.0,0.0,912.0
28,1,OO,CIC,1818.0,25.0,0.0,0.0,153.0
23,3,OO,DEN,1729.0,-4.0,0.0,0.0,391.0
2,3,UA,LAS,757.0,-6.0,0.0,0.0,2065.0
22,2,OO,SLC,2000.0,-6.0,0.0,0.0,1087.0
16,3,EV,EWR,1611.0,-4.0,0.0,0.0,946.0
7,1,CO,IAH,1022.0,12.0,0.0,0.0,1091.0
17,4,F9,MKE,1414.0,-1.0,0.0,0.0,896.0
18,5,US,MCO,1714.0,-6.0,0.0,0.0,1849.0
25,5,FL,HPN,1823.0,-6.0,0.0,0.0,781.0
28,1,US,PHL,1112.0,-8.0,0.0,0.0,980.0
25,5,DL,ALB,1215.0,-5.0,0.0,0.0,853.0
20,7,CO,EWR,1557.0,-3.0,0.0,0.0,719.0
5,6,US,DCA,1037.0,7.0,0.0,0.0,1979.0
23,3,OO,LAX,701.0,1.0,0.0,0.0,236.0
10,4,EV,EWN,1646.0,-4.0,0.0,0.0,434.0
8,2,DL,DAY,1808.0,-2.0,0.0,0.0,432.0
21,1,WN,ISP,621.0,-4.0,0.0,0.0,1034.0
23,3,AA,DFW,1027.0,2.0,0.0,0.0,1660.0
23,3,YV,LIH,1822.0,-8.0,0.0,0.0,102.0
18,5,AS,ANC,1531.0,7.0,0.0,0.0,160.0
6,7,MQ,ORD,1108.0,-7.0,0.0,0.0,416.0
12,6,XE,IAH,2117.0,-3.0,0.0,0.0,429.0
20,7,DL,EWR,1425.0,10.0,0.0,0.0,746.0
26,6,OO,JAC,715.0,-4.0,0.0,0.0,406.0
4,5,OO,ACV,1614.0,12.0,0.0,0.0,250.0
3,4,EV,MEM,931.0,-1.0,0.0,0.0,538.0
1,2,YV,BFL,1849.0,-10.0,0.0,0.0,425.0
25,5,UA,LAS,1524.0,-4.0,0.0,0.0,628.0
21,1,AA,DFW,800.0,-5.0,0.0,0.0,929.0
22,2,OO,SLC,1343.0,-1.0,0.0,0.0,391.0
16,3,B6,JFK,751.0,-4.0,0.0,0.0,1005.0
16,3,WN,MDW,1015.0,0.0,0.0,0.0,307.0
27,7,DL,ATL,2159.0,4.0,0.0,0.0,746.0
6,7,OO,ORD,935.0,-5.0,0.0,0.0,911.0
5,6,UA,SEA,1227.0,-7.0,0.0,0.0,1721.0
17,4,CO,ORD,2116.0,1.0,0.0,0.0,925.0
23,3,AA,ORD,823.0,-7.0,0.0,0.0,1440.0
8,2,EV,ATL,2154.0,-6.0,0.0,0.0,551.0
26,6,DL,ATL,939.0,-5.0,0.0,0.0,214.0
5,6,B6,JFK,1501.0,11.0,0.0,0.0,1028.0
6,7,OO,RDM,2128.0,58.0,0.0,0.0,462.0
28,1,DL,BOS,1328.0,-2.0,0.0,0.0,184.0
3,4,AA,MEM,1503.0,-7.0,0.0,0.0,432.0
14,1,UA,PVD,1719.0,-12.0,0.0,0.0,849.0
2,3,OO,IAH,1651.0,-9.0,0.0,0.0,871.0
1,2,FL,MCO,1605.0,-4.0,0.0,0.0,861.0
